date	sessions	users	bounces	newusers	transactions
2017-01-09	666	412	28	72	22
2017-01-10	709	466	34	80	14
2017-01-11	658	447	50	70	11
2017-01-12	681	438	38	86	11
2017-01-13	740	471	33	90	11
2017-01-14	388	253	12	26	7
2017-01-15	264	159	11	18	5
2017-01-16	871	486	43	71	21
2017-01-17	934	542	50	102	12
2017-01-18	848	492	27	78	16
2017-01-19	849	506	38	76	26
2017-01-20	919	561	45	82	17
2017-01-21	361	256	17	31	8
2017-01-22	224	145	12	25	11
2017-01-23	961	548	36	84	12
2017-01-24	983	551	26	98	26
2017-01-25	1026	592	57	102	37
2017-01-26	984	568	45	94	40
2017-01-27	901	515	43	91	28
2017-01-28	367	247	20	34	11
2017-01-29	235	150	13	15	16
2017-01-30	910	486	30	77	33
2017-01-31	1045	580	47	130	44
2017-02-01	1006	578	36	104	37
2017-02-02	970	529	58	86	41
2017-02-03	895	516	43	102	49
2017-02-04	419	268	24	39	13
2017-02-05	261	151	12	12	20
2017-02-06	983	554	44	92	48
2017-02-07	1019	585	42	93	73
2017-02-08	1073	594	53	93	66
2017-02-09	1076	614	72	121	61
2017-02-10	1074	627	42	107	124
2017-02-11	499	317	22	38	40
2017-02-12	339	191	11	22	80
2017-02-13	1115	607	40	92	99
2017-02-14	1065	615	67	101	61
2017-02-15	1046	636	58	124	37
2017-02-16	1076	641	71	120	58
2017-02-17	965	561	48	83	47
2017-02-18	489	319	23	51	25
2017-02-19	290	180	12	12	18
2017-02-20	1147	647	50	112	42
2017-02-21	1157	670	70	130	38
2017-02-22	1181	662	55	109	63
2017-02-23	1159	671	58	120	61
2017-02-24	1215	729	52	119	74
2017-02-25	473	319	28	51	23
2017-02-26	293	192	18	31	33
2017-02-27	1159	671	64	120	68
2017-02-28	1269	729	56	104	70
2017-03-01	1227	697	48	108	43
2017-03-02	1183	680	44	111	44
2017-03-03	1076	639	49	91	53
2017-03-04	483	311	34	37	16
2017-03-05	317	199	9	22	13
2017-03-06	1117	634	52	108	42
2017-03-07	1269	703	68	100	54
2017-03-08	1230	732	54	121	62
2017-03-09	1260	724	51	111	78
2017-03-10	998	620	50	86	54
2017-03-11	490	324	22	41	17
2017-03-12	278	175	12	21	19
2017-03-13	304	245	17	31	11
